region_value,region_name,x,y,z
2001.0,Region_2001.0,-38.93023255813952,-6.961429381735684,49.64038570618264
2002.0,Region_2002.0,41.100857734398105,-9.549837326234837,50.80981958000592
2101.0,Region_2101.0,-18.772992497916093,33.48985829397054,40.95415393164768
2102.0,Region_2102.0,21.60305719921105,29.91025641025641,42.50443786982248
2111.0,Region_2111.0,-16.824506749740394,45.919003115264786,-14.718587746625133
2112.0,Region_2112.0,18.17853560682046,46.61785356068205,-15.494483450351055
2201.0,Region_2201.0,-33.7589965042155,31.489204194941408,34.13078346699568
2202.0,Region_2202.0,37.391849529780565,31.750783699059554,32.81426332288402
2211.0,Region_2211.0,-30.88513513513513,49.1418918918919,-10.986486486486484
2212.0,Region_2212.0,32.89458128078818,51.27487684729064,-12.141871921182265
2301.0,Region_2301.0,-48.79576107899808,11.49132947976878,17.801541425818883
2302.0,Region_2302.0,49.92709077912795,13.675482487491053,20.19585418155826
2311.0,Region_2311.0,-45.890075128509295,28.666666666666657,12.582839066824832
2312.0,Region_2312.0,50.06136680613668,28.901906090190607,12.817294281729431
2321.0,Region_2321.0,-36.24023668639053,29.49230769230769,-13.459171597633137
2322.0,Region_2322.0,40.9103690685413,30.99472759226714,-13.258347978910372
2331.0,Region_2331.0,-47.406060606060606,-9.77575757575758,12.638383838383845
2332.0,Region_2332.0,52.381667918858,-7.537190082644628,13.32982719759579
2401.0,Region_2401.0,-5.690731252911036,3.550069864927792,60.06427573358175
2402.0,Region_2402.0,8.246309574019406,-1.0932096161956935,60.512863770560955
2501.0,Region_2501.0,-8.26428571428572,13.864285714285728,-12.685714285714283
2502.0,Region_2502.0,10.124567474048447,14.664359861591691,-12.560553633217992
2601.0,Region_2601.0,-5.1737967914438485,47.887032085561486,29.63636363636364
2602.0,Region_2602.0,8.75070290534208,49.52858481724462,28.92689784442362
2611.0,Region_2611.0,-5.438108484005568,52.51738525730181,-8.856745479833101
2612.0,Region_2612.0,7.834112149532714,50.406542056074755,-8.516355140186917
2701.0,Region_2701.0,-5.441314553990608,35.706572769953056,-19.568075117370896
2702.0,Region_2702.0,8.002684563758393,34.451006711409406,-19.436241610738257
3001.0,Region_3001.0,-35.410118406889126,5.440258342303565,2.1722282023681316
3002.0,Region_3002.0,38.722033898305085,5.020338983050834,0.8135593220338961
4001.0,Region_4001.0,-4.364285714285714,34.195714285714274,12.535714285714292
4002.0,Region_4002.0,8.117288651942118,35.72277227722773,14.432597105864431
4011.0,Region_4011.0,-5.882534775888715,-16.1009788768676,40.21432251416796
4012.0,Region_4012.0,7.664094416704501,-10.197004085338179,38.43758511121199
4021.0,Region_4021.0,-5.205183585313179,-44.172786177105834,23.27861771058315
4022.0,Region_4022.0,7.17611940298508,-43.0865671641791,20.471641791044775
4101.0,Region_4101.0,-25.25536480686695,-21.963519313304715,-11.384120171673821
4102.0,Region_4102.0,28.945031712473572,-20.991543340380545,-11.577167019027485
4111.0,Region_4111.0,-21.492842535787318,-17.29243353783231,-21.918200408997954
4112.0,Region_4112.0,25.148409893992934,-16.300353356890454,-21.743816254416963
4201.0,Region_4201.0,-23.509090909090915,-1.9454545454545524,-18.454545454545453
4202.0,Region_4202.0,27.056451612903224,-0.5725806451612954,-18.806451612903224
5001.0,Region_5001.0,-7.482728077945083,-79.82108060230291,5.103631532329501
5002.0,Region_5002.0,15.709833422890924,-74.44922084900591,8.019344438473937
5011.0,Region_5011.0,-6.2568807339449535,-81.42463958060289,25.838794233289647
5012.0,Region_5012.0,13.18960674157303,-80.58988764044943,26.85252808988764
5021.0,Region_5021.0,-14.858233890214791,-68.86491646778043,-6.00763723150358
5022.0,Region_5022.0,16.077391304347827,-68.14173913043479,-5.215652173913043
5101.0,Region_5101.0,-16.756954612005856,-85.61054172767203,26.853587115666173
5102.0,Region_5102.0,23.963198867657468,-82.206652512385,29.26539278131635
5201.0,Region_5201.0,-32.617125382263,-82.02140672782875,14.767584097859327
5202.0,Region_5202.0,37.127740705433744,-80.99332697807435,18.06768350810296
5301.0,Region_5301.0,-36.48246546227418,-79.56854410201913,-9.164718384697132
5302.0,Region_5302.0,37.870576339737106,-83.19110212335693,-8.99292214357937
5401.0,Region_5401.0,-31.389610389610397,-41.40519480519481,-21.60606060606061
5402.0,Region_5402.0,33.659253375694995,-40.19857029388403,-21.533756949960285
6001.0,Region_6001.0,-42.90441932168551,-23.7754367934224,47.4568345323741
6002.0,Region_6002.0,41.15825268114047,-26.772691603452785,51.25398901386346
6101.0,Region_6101.0,-23.713317191283295,-60.807748184019374,57.657142857142844
6102.0,Region_6102.0,25.84248424842484,-60.42844284428443,60.713771377137704
6201.0,Region_6201.0,-43.10666121781773,-47.01920719248059,45.42296689824275
6202.0,Region_6202.0,46.291449814126395,-47.58810408921933,48.19182156133829
6211.0,Region_6211.0,-56.14649681528661,-34.93630573248407,29.119426751592357
6212.0,Region_6212.0,57.262411347517734,-32.817629179331306,33.13475177304964
6221.0,Region_6221.0,-44.434782608695656,-62.08184143222506,34.28303495311168
6222.0,Region_6222.0,45.22831050228311,-61.23858447488584,37.31506849315069
6301.0,Region_6301.0,-7.590702947845799,-57.324829931972786,46.64002267573696
6302.0,Region_6302.0,9.688820826952522,-57.31393568147014,42.36079632465544
6401.0,Region_6401.0,-7.974796145292814,-26.650852483320975,68.6923647146034
6402.0,Region_6402.0,7.126794258373209,-32.942583732057415,66.79186602870814
7001.0,Region_7001.0,-11.767151767151773,9.723492723492711,8.070686070686065
7002.0,Region_7002.0,14.494969818913475,10.776659959758547,8.148893360160969
7011.0,Region_7011.0,-24.20812685827552,2.600594648166492,1.0703666997026744
7012.0,Region_7012.0,27.484962406015036,3.6785714285714164,1.1936090225563873
7021.0,Region_7021.0,-18.061433447098977,-1.3583617747440258,-1.0443686006825885
7022.0,Region_7022.0,20.921428571428578,-1.057142857142864,-1.085714285714289
7101.0,Region_7101.0,-11.198181818181823,-18.843636363636364,6.607272727272729
7102.0,Region_7102.0,12.703878902554393,-18.768211920529808,6.7284768211920465
8101.0,Region_8101.0,-42.346666666666664,-20.03555555555556,8.675555555555562
8102.0,Region_8102.0,45.87951807228916,-18.144578313253007,9.044176706827315
8111.0,Region_8111.0,-53.435540069686425,-22.009581881533094,5.840592334494772
8112.0,Region_8112.0,57.83253740846864,-23.01050620821394,5.418656478828396
8121.0,Region_8121.0,-40.15408560311283,13.867704280155635,-21.436575875486383
8122.0,Region_8122.0,47.937219730941706,13.45739910313901,-18.1898355754858
8201.0,Region_8201.0,-55.86887899635775,-34.98421691622825,-3.584783488466215
8202.0,Region_8202.0,57.15990020412792,-38.565661147652534,-2.7752324790201897
8211.0,Region_8211.0,-36.74437086092715,13.300662251655638,-35.36688741721854
8212.0,Region_8212.0,44.04043807919124,13.246840775063191,-33.51811288963774
8301.0,Region_8301.0,-50.036249999999995,-29.291875000000005,-24.519374999999997
8302.0,Region_8302.0,53.38206353668822,-32.13888107956143,-23.730671914534717
9001.0,Region_9001.0,-35.38532462543219,-67.94314252785247,-30.262773722627735
9002.0,Region_9002.0,38.21450151057402,-68.37160120845923,-30.849697885196377
9011.0,Region_9011.0,-27.768743400211193,-74.57972544878564,-39.44350580781415
9012.0,Region_9012.0,32.673594709494566,-70.39678790741615,-41.20170051960321
9021.0,Region_9021.0,-8.117647058823536,-38.367647058823536,-19.779411764705884
9022.0,Region_9022.0,13.062801932367151,-35.710144927536234,-20.59903381642512
9031.0,Region_9031.0,-14.343111111111114,-44.66311111111111,-18.261333333333333
9032.0,Region_9032.0,17.888501742160273,-44.16492450638792,-19.354239256678284
9041.0,Region_9041.0,-22.525383707201883,-60.25855962219599,-23.480519480519483
9042.0,Region_9042.0,25.429526462395543,-59.53760445682451,-24.94038997214485
9051.0,Region_9051.0,-31.58974358974359,-61.04957264957265,-46.75213675213675
9052.0,Region_9052.0,33.92883895131086,-64.40823970037454,-49.760299625468164
9061.0,Region_9061.0,-25.029146793852675,-55.77106518282989,-49.05458399576047
9062.0,Region_9062.0,25.77296360485269,-57.63084922010398,-50.79809358752166
9071.0,Region_9071.0,-10.25316455696202,-50.18872266973533,-47.23590333716916
9072.0,Region_9072.0,10.190358467243513,-50.75154511742892,-47.62422744128554
9081.0,Region_9081.0,-21.79166666666667,-35.0,-43.06944444444444
9082.0,Region_9082.0,26.80503144654088,-35.01886792452831,-42.64150943396226
9100.0,Region_9100.0,1.5094339622641542,-40.11320754716981,-21.358490566037737
9110.0,Region_9110.0,2.05263157894737,-41.28947368421052,-12.719298245614034
9120.0,Region_9120.0,1.834586466165419,-53.59398496240601,-7.401503759398494
9130.0,Region_9130.0,1.7681940700808667,-68.35040431266847,-16.39353099730458
9140.0,Region_9140.0,1.865979381443296,-73.1958762886598,-26.350515463917525
9150.0,Region_9150.0,1.8106995884773625,-65.65432098765433,-35.349794238683124
9160.0,Region_9160.0,1.6091954022988517,-56.172413793103445,-36.298850574712645
9170.0,Region_9170.0,1.1428571428571388,-47.125,-32.875
